,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,1.4825438630125602,1.4259943493707774,1.3782946747010743,10,43.752203503575124,41.9145389424612,40.413454225443154
0,20,1.4961500191495918,1.2390667396263686,1.2341201339099945,20,44.90067670394113,38.80851752672992,38.66522668056302
0,30,1.5640754546716649,1.2870061323999407,1.3479065754056272,30,46.30322224924891,39.2388117214671,40.31845221387869
0,40,1.6588665145404393,1.344495589608637,1.4990952228367926,40,48.18580563989577,40.64312376557464,43.9477835170316
0,50,1.672059689768903,1.3891523910336065,1.5518038223662085,50,48.52196740812905,42.30159734645869,45.31620656341086
0,60,1.6514313922747594,1.4318175698997915,1.54511758376534,60,47.94906154784266,43.49581590616647,45.430480446506124
0,70,1.6451650307819874,1.4375369673568987,1.5422251187685025,70,48.30008566182617,44.650928295104315,46.20235468497078
0,80,1.605776722418411,1.462551077048969,1.5163272341601508,80,47.74217719644166,45.56758682287668,46.19544726251839
0,90,1.6053742033398604,1.5002240221816643,1.540937992511234,90,47.91763837766372,46.440642949613945,47.04424710250286
0,100,1.6105001719114342,1.5433953629018073,1.5652592551670317,100,47.985768655842584,47.081653274535306,47.33683481914724
