,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.19109350914828505,0.18375666836766466,0.16857635694417508,10,17.12169734573019,16.348890138609615,15.567713526830307
0,20,0.12927440092412693,0.09659454123591392,0.10967287687306428,20,12.064056204031479,9.30570073100638,10.706343166438252
0,30,0.11474972764837364,0.09439465288951045,0.09613143474838376,30,10.838066684691732,9.007385075562249,9.438414980523575
0,40,0.10608290170504049,0.0920378000392867,0.09229257656252017,40,10.110539465724012,8.779531546999698,9.06817951139689
0,50,0.11006332205682719,0.10180045913757892,0.09762236413460748,50,10.512964939136472,9.554125209982065,9.567435680346309
0,60,0.1125110937265266,0.10664038343895962,0.10172231481047973,60,10.74359262798668,9.91135588256393,9.987015316637288
0,70,0.11754615862271843,0.1112131864325489,0.10788308537269137,70,11.235753641080102,10.352029620700064,10.64825897450936
0,80,0.12071966027710779,0.11517831069226005,0.11157470545632077,80,11.526721005425289,10.723748453410733,11.021004616866641
0,90,0.12307363186411542,0.11976621928944634,0.11515290450488433,90,11.766308470490822,11.142695999173975,11.369716381413905
0,100,0.12496637719123072,0.12257060452987022,0.11810228129936956,100,11.936629791287478,11.375238660273922,11.647712500353293
