Unnamed: 0,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,温度,压强,风力,降水量,湿度,空气质量
2020-05-16 17:00:00,43.0,12.0,24.0,27.0,58.0,6.0,7.0,15.0,35.0,137.0,150.0,125.0,125.0,0.35,0.42,27.0,338.0,2.0,0.0,12.0,43.0
2020-05-16 18:00:00,43.0,11.0,23.0,33.0,55.0,6.0,7.0,15.0,35.0,137.0,150.0,132.0,132.0,0.47,0.45,27.0,309.0,2.0,0.0,12.0,43.0
2020-05-16 19:00:00,41.0,11.0,22.0,39.0,51.0,6.0,7.0,18.0,35.0,132.0,150.0,133.0,134.0,0.43,0.45,25.0,5.0,2.0,0.0,14.0,42.0
2020-05-16 20:00:00,45.0,19.0,22.0,45.0,50.0,6.0,7.0,27.0,35.0,117.0,150.0,130.0,134.0,0.42,0.45,24.0,286.0,2.0,0.0,19.0,45.0
2020-05-16 20:00:00,45.0,19.0,22.0,45.0,50.0,6.0,7.0,27.0,35.0,117.0,150.0,130.0,134.0,0.42,0.45,24.0,286.0,2.0,0.0,19.0,45.0
2020-05-16 21:00:00,51.0,24.0,22.0,51.0,51.0,6.0,7.0,34.0,35.0,100.0,150.0,127.0,134.0,0.43,0.45,20.0,243.0,2.0,0.0,20.0,51.0
2020-05-16 21:00:00,51.0,24.0,22.0,51.0,51.0,6.0,7.0,34.0,35.0,100.0,150.0,127.0,134.0,0.43,0.45,20.0,243.0,2.0,0.0,20.0,51.0
2020-05-16 22:00:00,59.0,27.0,21.0,68.0,51.0,6.0,7.0,61.0,37.0,63.0,150.0,119.0,134.0,0.58,0.45,20.0,74.0,1.0,0.0,28.0,59.0
2020-05-16 22:00:00,59.0,27.0,21.0,68.0,51.0,6.0,7.0,61.0,37.0,63.0,150.0,119.0,134.0,0.58,0.45,20.0,74.0,1.0,0.0,28.0,59.0
2020-05-16 23:00:00,62.0,32.0,22.0,74.0,53.0,6.0,7.0,85.0,39.0,24.0,150.0,106.0,134.0,0.7,0.45,18.0,251.0,2.0,0.0,34.0,62.0
2020-05-16 23:00:00,62.0,32.0,22.0,74.0,53.0,6.0,7.0,85.0,39.0,24.0,150.0,106.0,134.0,0.7,0.45,18.0,251.0,2.0,0.0,34.0,62.0
2020-05-17 00:00:00,70.0,32.0,22.0,90.0,55.0,8.0,7.0,92.0,41.0,11.0,150.0,90.0,134.0,0.77,0.48,16.0,245.0,2.0,0.0,33.0,70.0
2020-05-17 00:00:00,70.0,32.0,22.0,90.0,55.0,8.0,7.0,92.0,41.0,11.0,150.0,90.0,134.0,0.77,0.48,16.0,245.0,2.0,0.0,33.0,70.0
2020-05-17 01:00:00,68.0,29.0,22.0,85.0,56.0,8.0,7.0,88.0,43.0,9.0,150.0,9.0,9.0,0.72,0.48,15.0,141.0,1.0,0.0,39.0,68.0
2020-05-17 01:00:00,68.0,29.0,22.0,85.0,56.0,8.0,7.0,88.0,43.0,9.0,150.0,9.0,9.0,0.72,0.48,15.0,141.0,1.0,0.0,39.0,68.0
2020-05-17 02:00:00,75.0,26.0,22.0,100.0,58.0,8.0,7.0,80.0,44.0,9.0,150.0,9.0,9.0,0.63,0.5,14.0,146.0,1.0,0.0,43.0,75.0
2020-05-17 02:00:00,75.0,26.0,22.0,100.0,58.0,8.0,7.0,80.0,44.0,9.0,150.0,9.0,9.0,0.63,0.5,14.0,146.0,1.0,0.0,43.0,75.0
2020-05-17 03:00:00,81.0,25.0,22.0,111.0,61.0,12.0,8.0,77.0,45.0,8.0,150.0,9.0,9.0,0.85,0.53,14.0,318.0,2.0,0.0,45.0,81.0
2020-05-17 03:00:00,81.0,25.0,22.0,111.0,61.0,12.0,8.0,77.0,45.0,8.0,150.0,9.0,9.0,0.85,0.53,14.0,318.0,2.0,0.0,45.0,81.0
2020-05-17 04:00:00,77.0,29.0,22.0,103.0,63.0,14.0,8.0,72.0,46.0,8.0,150.0,9.0,9.0,0.8,0.55,13.0,236.0,1.0,0.0,48.0,77.0
2020-05-17 04:00:00,77.0,29.0,22.0,103.0,63.0,14.0,8.0,72.0,46.0,8.0,150.0,9.0,9.0,0.8,0.55,13.0,236.0,1.0,0.0,48.0,77.0
2020-05-17 05:00:00,77.0,31.0,22.0,103.0,64.0,16.0,8.0,68.0,46.0,8.0,150.0,8.0,9.0,0.73,0.55,12.0,268.0,1.0,0.0,50.0,77.0
2020-05-17 05:00:00,77.0,31.0,22.0,103.0,64.0,16.0,8.0,68.0,46.0,8.0,150.0,8.0,9.0,0.73,0.55,12.0,268.0,1.0,0.0,50.0,77.0
2020-05-17 06:00:00,78.0,32.0,22.0,106.0,66.0,25.0,9.0,65.0,47.0,8.0,150.0,8.0,9.0,0.9,0.6,12.0,299.0,1.0,0.0,50.0,78.0
2020-05-17 06:00:00,78.0,32.0,22.0,106.0,66.0,25.0,9.0,65.0,47.0,8.0,150.0,8.0,9.0,0.9,0.6,12.0,299.0,1.0,0.0,50.0,78.0
2020-05-17 07:00:00,89.0,37.0,23.0,128.0,68.0,26.0,10.0,66.0,48.0,10.0,150.0,9.0,9.0,1.35,0.63,13.0,279.0,1.0,0.0,49.0,89.0
2020-05-17 07:00:00,89.0,37.0,23.0,128.0,68.0,26.0,10.0,66.0,48.0,10.0,150.0,9.0,9.0,1.35,0.63,13.0,279.0,1.0,0.0,49.0,89.0
2020-05-17 08:00:00,98.0,37.0,23.0,145.0,70.0,24.8,11.0,68.0,48.0,17.0,150.0,10.0,10.0,1.2433333333333334,0.65,16.0,80.0,1.0,0.0,41.0,98.0
2020-05-17 08:00:00,98.0,37.0,23.0,145.0,70.0,24.8,11.0,68.0,48.0,17.0,150.0,10.0,10.0,1.2433333333333334,0.65,16.0,80.0,1.0,0.0,41.0,98.0
2020-05-17 09:00:00,87.0,38.0,24.0,123.0,72.0,23.6,13.0,71.0,49.0,38.0,150.0,12.0,12.0,1.1366666666666667,0.7,18.0,88.0,1.0,0.0,33.0,87.0
2020-05-17 09:00:00,87.0,38.0,24.0,123.0,72.0,23.6,13.0,71.0,49.0,38.0,150.0,12.0,12.0,1.1366666666666667,0.7,18.0,88.0,1.0,0.0,33.0,87.0
2020-05-17 09:00:00,87.0,38.0,24.0,123.0,72.0,23.6,13.0,71.0,49.0,38.0,150.0,12.0,12.0,1.1366666666666667,0.7,18.0,88.0,1.0,0.0,33.0,87.0
